Timestamp,DATE,SHIFT,MACHINE NO.,PROBLEM TYPE,MECHANICAL ACTION,ELECTRICAL,TOOLING,SLANT LEADS,DAMAGED AIRCOIL,STRIPPING,UNEVEN WINDING,RED LEAD,START DOWN,START REPAIR,JOB COMPLETE,VERIFY PERSON,VERIFY STATUS,REMARK
5/26/2022 9:00:45,5/26/2022,DAY,CNC 11,STRIPPING,,,,,,ADJUST STRIPPING BLOCK,,,8:10:00 AM,8:13:00 AM,8:45:00 AM,AIZAT,OK,N/A
6/8/2022 3:21,6/7/2022,NIGHT,CNC 2,DAMAGED AIRCOIL,,,,,Tighten cutter,,,,1:00:00 AM,2:00:00 AM,3:20:00 AM,HALIM,OK,-
6/15/2022 1:43:21,6/15/2022,NIGHT,CNC 1,MECHANICAL,Adjust cutter level,,,,,,,,1:00:00 AM,1:30:00 AM,1:43:00 AM,FITRI,OK,Ok
6/28/2022 21:48:15,6/28/2022,NIGHT,CNC 1,STRIPPING,,,,,,REPLACE MICROGRINDER,,,8:00:00 PM,9:00:00 PM,9:45:00 PM,FITRI,OK,Ok
7/7/2022 23:05,7/7/2022,NIGHT,CNC 13,MECHANICAL,Replace slider bearing,,,,,,,,10:14:00 PM,10:30:00 PM,11:05:00 PM,FITRI,OK,Ok
7/18/2022 2:23:53,7/17/2022,NIGHT,CNC 4,STRIPPING,,,,,,REPLACE MICROGRINDER,,,10:00:00 PM,11:05:00 PM,12:50:00 AM,HALIM,OK,Tukar tube micro grinder atas
7/19/2022 9:33:51,7/19/2022,DAY,CNC 8,DAMAGED AIRCOIL,,,,,POLISH CHUCK / MINIMIZE PRESSURE TOP OF AIRCOIL,,,,8:00:00 AM,8:30:00 AM,10:00:00 AM,AMIR SYAFIQ,OK,ok
7/22/2022 4:48:07,7/21/2022,NIGHT,CNC 4,STRIPPING,,,,,,ADJUST STRIPPING BLOCK,,,8:00:00 PM,9:45:00 PM,10:50:00 PM,HALIM,OK,-
8/2/2022 16:29,8/2/2022,DAY,CNC 13,TOOLING,,,modified,,,,,,2:00:00 PM,2:15:00 PM,4:35:00 PM,AMIR SYAFIQ,OK,ok
8/5/2022 21:10,8/5/2022,NIGHT,CNC 2,MECHANICAL,adjust cutter,,,,,,,,8:30:00 PM,8:40:00 PM,9:10:00 PM,RIZAL,OK,ok
8/15/2022 20:57:12,8/15/2022,NIGHT,CNC 4,SLANT LEADS,,,,Adjust cutter,,,,,8:10:00 PM,8:40:00 PM,8:55:00 PM,FITRI,OK,Ok
8/16/2022 9:52:40,8/16/2022,DAY,CNC 2,MECHANICAL,offset cutter,,,,,,,,8:40:00 AM,8:50:00 AM,9:10:00 AM,RIZAL,OK,ok
8/16/2022 9:54:41,8/16/2022,DAY,CNC 1,STRIPPING,,,,,,tukar micro grinder t0p 1,,,8:50:00 AM,9:20:00 AM,9:40:00 AM,RIZAL,OK,ok
8/16/2022 9:56:20,8/16/2022,DAY,CNC 13,PNEUMATIC,,,,,,,,,8:50:00 AM,9:40:00 AM,9:55:00 AM,RIZAL,OK,ok
8/30/2022 5:34:52,8/29/2022,NIGHT,CNC 4,MECHANICAL,Unable to solve,,,,,,,,2:20:00 AM,2:30:00 AM,5:10:00 AM,HALIM,NOT OK,-
8/30/2022 5:36:16,8/29/2022,NIGHT,CNC 2,MECHANICAL,Adjust stripping stopped,,,,,,,,2:30:00 AM,4:15:00 AM,5:00:00 AM,HALIM,OK,-
9/28/2022 22:33:09,9/28/2022,NIGHT,CNC 5,STRIPPING,,,,,,REPLACE MICROGRINDER,,,10:00:00 PM,10:15:00 PM,10:30:00 PM,FITRI,OK,Ok
11/20/2022 14:47:56,11/20/2022,DAY,CNC 16,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,2:00:00 PM,2:30:00 PM,2:47:00 PM,FITRI,OK,Okokok
12/12/2022 3:19,12/12/2022,NIGHT,CNC 10,UNEVEN LEAD LENGTH,,,,,,,,,3:00:00 AM,3:00:00 AM,8:00:00 AM,FITRI,NOT OK,Need cnc team to take look
1/8/2023 21:35,1/8/2023,NIGHT,CNC 4,UNEVEN WINDING,,,,,,,Adjust chuck back to normal (chuck offset),,8:00:00 PM,8:10:00 PM,9:00:00 PM,FITRI,OK,Setting all leads to get angle spec
1/13/2023 23:42:39,1/13/2023,NIGHT,CNC 1,SLANT LEADS,,,,ADJUST TENSION WIRE (CUTTER STUCK),,,,,8:00:00 PM,10:00:00 PM,11:35:00 PM,FITRI,OK,"Cutter dentet, grind cutter jadi flat balik. Setting cutter part, setting angle aircoil"
1/24/2023 23:33:40,1/24/2023,NIGHT,CNC 4,STRIPPING,,,,,,Change stripping bit,,,8:45:00 PM,8:50:00 PM,11:10:00 PM,HALIM,OK,-
1/24/2023 23:34:24,1/24/2023,NIGHT,CNC 1,STRIPPING,,,,,,REPLACE MICROGRINDER,,,9:50:00 PM,9:55:00 PM,10:40:00 PM,HALIM,OK,-
2/10/2023 22:07,2/10/2023,NIGHT,CNC 10,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,8:00:00 PM,9:00:00 PM,10:00:00 PM,FITRI,OK,Okokok
2/16/2023 16:10:35,2/16/2023,DAY,CNC 7,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,3:00:00 PM,3:20:00 PM,4:05:00 PM,FITRI,OK,Ok
2/19/2023 23:01:32,2/19/2023,NIGHT,CNC 1,STRIPPING,,,,,,ADJUST STRIPPING BLOCK,,,8:10:00 PM,8:11:00 PM,8:30:00 PM,HALIM,OK,-
2/20/2023 5:04:48,2/19/2023,NIGHT,CNC 11,DAMAGED AIRCOIL,,,,,Realign top chuck and bottom chuck,,,,12:30:00 AM,12:35:00 AM,4:20:00 AM,HALIM,NOT OK,---------
2/23/2023 23:50:52,2/23/2023,NIGHT,CNC 16,DAMAGED AIRCOIL,,,,,REPAIR PUSHER / BOUNDERING TOOLS & ALIGMENT,,,,10:35:00 PM,10:40:00 PM,11:50:00 PM,HALIM,OK,Rotate stripping base
2/24/2023 2:53:50,2/23/2023,NIGHT,CNC 11,STRIPPING,,,,,,REPLACE MICROGRINDER,,,1:50:00 AM,2:00:00 AM,2:53:00 AM,HALIM,OK,Attend flattening first
3/5/2023 21:19,3/5/2023,NIGHT,CNC 1,UNEVEN WINDING,,,,,,,Reposition top chuck,,8:00:00 PM,8:30:00 PM,8:40:00 PM,FITRI,OK,Ok
3/5/2023 23:10,3/5/2023,NIGHT,CNC 4,ELECTRICAL,,"Valve cant function, striping cant run",,,,,,,9:00:00 PM,9:30:00 PM,8:00:00 AM,FITRI,NOT OK,Waiting dayshift team mmber
3/6/2023 3:25,3/6/2023,NIGHT,CNC 11,WIRE SCRATCH,,,,,,,,,2:30:00 AM,2:50:00 AM,3:25:00 AM,FITRI,OK,Ok
3/9/2023 1:27,3/8/2023,NIGHT,CNC 3,UNEVEN WINDING,,,,,,,Polish slot wire,,11:00:00 PM,11:30:00 PM,1:20:00 AM,FITRI,OK,Ok
3/9/2023 10:28,3/9/2023,DAY,CNC 3,DAMAGED AIRCOIL,,,,,Remove stuck wire at pusher,,,,9:50:00 AM,10:10:00 AM,10:27:00 AM,HALIM,OK,.
3/10/2023 20:58,3/10/2023,NIGHT,CNC 7,SLANT LEADS,,,,ADJUST TENSION WIRE (CUTTER STUCK),,,,,8:00:00 PM,8:15:00 PM,8:50:00 PM,FITRI,OK,Ok
3/11/2023 1:41,3/11/2023,NIGHT,CNC 4,STRIPPING,,,,,,Clean n oily shaft striping,,,12:30:00 AM,12:45:00 AM,1:45:00 AM,FITRI,OK,Stuck movement
